ct_id,name,country,lat,lon,capacity_t,source,needs_verification,built_frac,flag,status
45257029,Abu Qir Fertilizer Complex,EGY,31.2716622,30.0932573,2200000.0,climate-trace,0,0.52,0,clean
45257213,Yara Porsgrunn,NOR,59.1163105,9.6348845,2086520.0,climate-trace,0,0.354,0,clean
45257062,Damietta Fertilizers Complex,EGY,31.4629882,31.7799027,2000000.0,climate-trace,0,0.694,0,clean
45257214,Yara Sluiskil,NLD,51.2778267,3.8530853,1900000.0,climate-trace,0,0.402,0,clean
45257239,Hengam Ammonia and Urea Petrochemical Complex,IRN,27.5820987255843,52.519171552746,1881000.0,climate-trace,0,0.298,0,clean
45257115,Jonava Fertilizer,LTU,55.0855039,24.3340412,1650000.0,climate-trace,0,0.41,0,clean
45257036,Azomures Targu Mures Fertilizers,ROU,46.5157884,24.5021878,1632930.0,climate-trace,0,0.379,0,clean
45257234,Brunsbüttel,DEU,53.9140811,9.1161823,1570000.0000000002,climate-trace,0,0.011,1,deferred
45257135,Linz Melamine and Fertilizers Complex,AUT,48.2895958,14.3307955,1499999.9999999998,climate-trace,0,0.676,0,clean
45257166,Port Harcourt Fertilizer Complex,NGA,4.8354765,7.1029183,1400000.0,climate-trace,0,0.547,0,clean
45257127,Kutina Fertilizers Complex,HRV,45.4664391,16.7965075,1294000.0,climate-trace,0,0.302,0,clean
45257240,Kermanshah Urea/Ammonia Project,IRN,34.3547213630215,47.4552215972079,1168000.0,climate-trace,0,0.211,0,clean
45257156,Odessa Portside Fertilizers,UKR,46.6264974,31.1026765,1159999.9999999998,climate-trace,0,0.422,0,clean
45257229,Anwil,POL,52.6986934223594,18.9685232403693,966000.0,climate-trace,0,0.432,0,clean
45257055,Chemelot-Geleen Fertilizers facility,NLD,50.9754643,5.8023248,965000.0,climate-trace,0,0.504,0,clean
45257037,Azot Cherkassy Fertilizers,UKR,49.4075415,32.1213683,962700.0,climate-trace,0,0.527,0,clean
45257069,Dneprazot Fertilizers,UKR,48.4925986,34.6561695,834999.9999999999,climate-trace,0,0.251,0,clean
45257226,Zakłady Azotowe Puławy,POL,51.4520685565023,21.9829638501153,819999.9999999999,climate-trace,0,0.492,0,clean
33999004,BEL-Antwerpen_ammonia,BEL,51.3624,4.2772,810156.0000000001,climate-trace,0,0.029,0,verified-fixed
45257068,Dimitrovgrad Fertilizer Complex,BGR,42.0514348,25.6174539,766500.0,climate-trace,0,0.476,0,clean
45257157,Onne (Port Harcourt) Fertilizer Complex,NGA,4.7744893,7.012544,730000.0,climate-trace,0,0.794,0,clean
33999241,GBR-Stockton-on-Tees_ammonia,GBR,54.5630516937368,-1.32997994510473,719844.0,climate-trace,0,0.557,0,clean
45257237,Razi Petrochemical Complex,IRN,30.452301571242,49.0874570399817,677000.0,climate-trace,0,0.66,0,clean
